ID,Nombre,Edad,Salario,FechaIngreso,AñosEmpresa,Departamento_Marketing,Departamento_RRHH,Departamento_Ventas,RangoEdad_Adulto,RangoEdad_Senior,RangoSalario_Medio,RangoSalario_Alto,Edad_scaled,Salario_scaled
1,Cliente_1,51.0,125878.0,2020-01-01,6.338124572210814,False,False,False,False,True,False,True,0.06558179092966808,1.1476796214173466
2,Cliente_2,69.0,91910.0,2020-01-02,6.335386721423682,False,False,True,False,True,True,False,1.103764963414503,0.19903097667123298
3,Cliente_3,46.0,76044.0,2020-01-03,6.33264887063655,False,True,False,True,False,True,False,-0.22280242364945277,-0.24407015962003642
4,Cliente_4,32.0,87214.0,2020-01-04,6.329911019849418,False,False,True,True,False,True,False,-1.0302782244709912,0.06788242404147117
5,Cliente_5,60.0,137930.0,2020-01-05,6.327173169062286,False,False,True,False,True,False,True,0.5846733771720856,1.4842644502703894
7,Cliente_7,78.0,53827.0,2020-01-07,6.321697467488022,True,False,False,False,True,False,False,1.6228565496569207,-0.8645402179197422
8,Cliente_8,38.0,75820.0,2020-01-08,6.31895961670089,False,False,False,True,False,True,False,-0.6842171669760461,-0.25032596792264855
9,Cliente_9,56.0,82623.0,2020-01-09,6.316221765913758,False,False,False,False,True,True,False,0.35396600550878893,-0.06033371844644121
10,Cliente_10,75.0,101734.0,2020-01-10,6.313483915126626,False,False,False,False,True,True,False,1.4498260209094482,0.4733928550857944
12,Cliente_12,40.0,113426.0,2020-01-12,6.308008213552362,False,True,False,True,False,False,True,-0.5688634811443978,0.7999237063096392
13,Cliente_13,28.0,137845.0,2020-01-13,6.30527036276523,True,False,False,False,False,False,True,-1.2609855961342877,1.4818905944412732
14,Cliente_14,28.0,42299.0,2020-01-14,6.3025325119780975,False,False,True,False,False,False,False,-1.2609855961342877,-1.1864909237791745
15,Cliente_15,41.0,63585.0,2020-01-15,6.299794661190965,False,False,True,True,False,False,False,-0.5111866382285736,-0.5920215687372005
17,Cliente_17,53.0,84044.0,2020-01-17,6.294318959616701,False,False,True,False,True,True,False,0.1809354767613164,-0.020648434526745394
18,Cliente_18,57.0,62557.0,2020-01-18,6.291581108829569,True,False,False,False,True,False,False,0.4116428484246131,-0.6207312604116884
19,Cliente_19,51.0,69080.0,2020-01-19,6.288843258042436,False,False,True,False,True,False,False,0.06558179092966808,-0.4385587713137462
20,Cliente_20,20.0,129556.0,2020-01-20,6.286105407255304,False,False,False,False,False,False,True,-1.7224003394608811,1.2503977595289872
21,Cliente_21,39.0,22693.0,2020-01-21,6.283367556468172,False,False,True,True,False,False,False,-0.626540324060222,-1.7340417165515576
22,Cliente_22,70.0,78383.5,2020-01-22,6.28062970568104,True,False,False,False,True,True,False,1.1614418063303273,-0.17873326888806712
23,Cliente_23,51.0,115259.0,2020-01-23,6.277891854893908,True,False,False,False,True,False,True,0.06558179092966808,0.8511152090716395
